No,EN,JA
1,I’m at the office now.,私は今オフィスにいます。
2,He’s in the meeting room.,彼は会議室にいます。
3,She’s from France.,彼女はフランス出身です。
4,We’re at the station.,私たちは駅にいます。
5,They’re university students.,彼らは大学生です。
6,Our office hours are from nine to five.,弊社の営業時間は 9 時から 5 時までです。
7,This is Mr. White from HR.,こちらは人事部のホワイトさんです。
8,The trash can is over there.,ゴミ箱はあちらにあります。
9,I’m not angry at all.,私は全く怒っていません。
10,He’s not a member of our team.,彼は私たちのチームの一員ではありません。
11,They aren’t our products.,それらは私たちの製品ではありません。
12,Is this for sale?,これは売り物ですか。
13,Is this pen yours?,このペンはあなたのものですか。
14,Are they from the New York office?,彼らはニューヨークオフィスの人たちですか。
15,Are there any stores in this building?,この建物に店はありますか。
16,Where’s your cup?,あなたのカップはどこですか。
17,Where’s my husband?,私の夫はどこですか。
18,"Which is better, this or that?",これとあれ、どちらがいいですか。
19,Which country do you want to visit?,あなたはどの国を訪れたいですか。
20,Why are you so sleepy?,なぜあなたはそんなに眠いのですか。
21,Why are they here?,なぜ彼らはここにいるのですか。
22,Who are they?,彼らは誰ですか。
23,Who’s next?,次は誰ですか。
24,Whose book is this?,これは誰の本ですか。
25,Whose boxes are they?,それらは誰の箱ですか。
